"city","new_id","total_area_sqm","total_green_space_area","connectivity","tree_percent_cover","grass_shrub__percent_cover","n_plant_genera","log_n_plant_genera","landcover_type_diversity","shannon_diversity","proportion_landscape_vegetation","proportion_landscape_open_developed","proportion_landscape_medhigh_developed","proportion_landscape_woody","proportion_landscape_grassherb"
"Atlanta",1,196648.0679,176700.1992,-0.065286515,74.17226266,16.77342656,91,4.52178857704904,13,1.32703130302311,0.111641815398427,0.193815463871021,0.418376873101086,0.102063942231329,0.00808173872878527
"Atlanta",2,13273.02669,11557.26803,-0.088260834,89.18705141,0.044411895,0,0,13,1.17695147618862,0.0763682495944099,0.197252749137403,0.444564382752094,0.0733244800365189,0.000992533551486207
"Atlanta",3,853887.6322,824379.7388,-0.109815907,87.98399149,8.560296984,10,2.39789527279837,13,1.70239228036851,0.303441738342949,0.177474256632678,0.29437517450312,0.281834911568775,0.00444584913048846
"Atlanta",4,138652.1562,134159.9944,-0.022239337,93.79393064,2.972160433,86,4.46590811865458,8,1.00860127100568,0.065498554599784,0.410253538607701,0.172109467601808,0.065498554599784,0
"Atlanta",5,486275.9795,223230.8433,-0.03285458,29.98833974,15.91786429,0,0,9,1.05244384504902,0.0665436203191632,0.289360010236848,0.318126956385848,0.0664477566858166,9.58636333466853e-05
"Atlanta",6,25937.74972,25178.7142,-0.062037265,38.78429969,58.28932647,12,2.56494935746154,5,0.479435126470075,0,0.0335174356454992,0.80653983042194,0,0
"Atlanta",7,17289.47416,11480.59288,-0.042613472,47.01505053,19.38715914,0,0,11,1.07188052131864,0.0742083423192348,0.294472486819899,0.290791973900886,0.0740806456405947,0.000127696678640188
"Atlanta",8,1510.145355,1510.145355,-0.098871444,44.34701147,55.65298852,0,0,14,1.64796904852566,0.368661193371261,0.21882959525282,0.178489135803019,0.364749149030629,0.00384218640597746
"Atlanta",9,3004.641269,2144.677055,-0.019628597,71.37863617,0.000169579,0,0,4,0.607172675441874,0,0.131728742370993,0.554511845482032,0,0
"Atlanta",10,4007.368039,3763.260642,-0.036068816,14.13880615,79.76972946,0,0,8,0.7526338534638,0.00937812996965319,0.228912579062226,0.387968646644376,0.00759218020467681,0.00178594976497638
"Atlanta",11,143.6166561,141.2510314,-0.16587211,98.35282008,0,0,0,10,1.14837386917554,0.147356369740708,0.523655062330627,0.0992885106317311,0.135258535934794,0.0120978338059141
"Atlanta",12,730.2823385,725.5477602,-0.017669493,85.51010335,13.84157502,0,0,5,0.557652190519166,0,0.07180245937648,0.707359022429545,0,0
"Atlanta",13,652.1592662,288.5063544,-0.01646931,44.23863454,0,0,0,6,0.662549869484906,0.0024980286626235,0.129343854455015,0.594231702057956,0.0024980286626235,0
"Atlanta",14,418.3496435,306.7557156,-0.017022279,73.32520067,0,0,0,6,0.651839415315782,0.00251522609698118,0.114429674666294,0.621186264003889,0.00251522609698118,0
"Atlanta",15,243.2012688,198.0849799,-0.016564161,81.44899113,0,0,0,6,0.656460928675135,0.00251489446410765,0.120741050813551,0.609296355182754,0.00251489446410765,0
"Atlanta",16,897.3443065,708.7159038,-0.020951526,78.97926121,0,0,0,4,0.400170235203161,0,0.0171628537733058,0.8750659918776,0,0
"Atlanta",17,1138.246048,0.1,-0.019767363,0,0,0,0,4,0.397948458670743,0,0.0176675631838959,0.870253074827252,0,0
"Atlanta",18,866.4303649,0.1,-0.020916689,0,0,0,0,4,0.399021367452892,0,0.0176309648775823,0.871072438297847,0,0
"Atlanta",19,1228.49634,0.1,-0.019792302,0,0,0,0,4,0.388163944413621,0,0.0174212531383919,0.866949302054744,0,0
"Atlanta",20,96.81447521,40.41793644,-0.164600225,41.74782372,0,0,0,8,1.13109551687509,0.101844087777144,0.330565747110706,0.202758121183037,0.099777853635497,0.00206623414164724
"Atlanta",21,307.1516657,127.2549748,-0.022359966,41.43066408,0,0,0,4,0.33609884085461,0,0.0113246526569824,0.892225993706979,0,0
"Atlanta",22,287.1408683,0.1,-0.022766091,0,0,0,0,4,0.344162914303548,0,0.0120184811481827,0.889615076729204,0,0
"Atlanta",23,104.3376174,50.78276992,-0.022336137,48.67158288,0,0,0,4,0.352320644576904,0,0.0124042889265767,0.890028635632267,0,0
"Atlanta",24,4332.718356,4282.2618,-0.052058636,98.83545265,0,0,0,11,1.00397991795743,0.0544746962515677,0.282859994609566,0.335918141507462,0.0542709676240569,0.000203728627510731
"Atlanta",25,2263.247087,2263.247087,-0.049447562,85.67348022,14.32651978,0,0,11,0.960457577480473,0.0437084877149835,0.274016710466741,0.358535021255252,0.0435018819125915,0.00020660580239201
"Atlanta",26,1717.775419,1151.388999,-0.035120793,40.22087067,26.80704153,1,0.693147180559945,9,0.816039265324556,0.0192933499698374,0.399604159900112,0.190798868787435,0.0192933499698374,0
"Atlanta",27,111.6124623,90.53564742,-0.03909322,0,81.11607395,0,0,9,0.815129342651543,0.0188592594123249,0.38648343097789,0.202173708471499,0.0188592594123249,0
"Atlanta",28,1384.152318,1167.243656,-0.028763458,80.37512096,3.9540126,0,0,8,0.77591331516953,0.0129717116760781,0.444820344772052,0.16025174498247,0.0129717116760781,0
"Atlanta",29,572.9505679,553.8581104,-0.029556704,96.66769551,0,1,0.693147180559945,8,0.730191392594767,0.00561314505181732,0.463346452940479,0.149695702566449,0.00561314505181732,0
"Atlanta",30,510.6883657,416.3813156,-0.031016227,79.90565228,1.62769439,0,0,8,0.730965979613145,0.00562503366024143,0.460082992586296,0.149463863691097,0.00562503366024143,0
"Atlanta",31,2428.835408,2117.045733,-0.015978914,55.18701636,31.97598062,0,0,4,0.540064609607943,0,0.0620799743081794,0.730851646783107,0,0
"Atlanta",32,2730.749171,2529.345313,-0.017294934,92.6245933,0,0,0,5,0.585942825924323,0,0.0853578460528087,0.684731872813979,0,0
"Atlanta",33,1318.841941,282.6004317,-0.027022518,12.30528501,9.122637694,0,0,5,0.521224084026926,0.00112240487877824,0.0580484969659242,0.706158116359611,0.00112240487877824,0
"Atlanta",34,182.0705444,60.43509245,-0.029558437,33.19322884,0,0,0,5,0.508675396364837,0.000827821027676901,0.0527461944678646,0.72500594710351,0.000827821027676901,0
"Atlanta",35,160.1031642,95.88031173,-0.026889288,59.88658137,0,0,0,5,0.511922069132963,0.00084236075321295,0.0563879767675019,0.710083342612245,0.00084236075321295,0
"Atlanta",36,159.4104643,51.21427327,-0.028771315,32.12729697,0,0,0,5,0.512377161054994,0.000885745101645229,0.0551026510299769,0.715937860572686,0.000885745101645229,0
"Atlanta",37,157.3226169,0.1,-0.023565065,0,0,0,0,5,0.530351563374859,0.000289998418711966,0.06580732880959,0.69663033457562,0.000289998418711966,0
"Atlanta",38,131.9934294,73.54202121,-0.028690598,55.71642586,0,0,0,5,0.505327654634119,0.000870324783167486,0.052312167294306,0.723177950080266,0.000870324783167486,0
"Atlanta",39,121.3336384,100.6957114,-0.026527344,63.89754713,19.09321511,0,0,5,0.511405343746946,0.000716423489258617,0.0575386110826082,0.70644922591648,0.000716423489258617,0
"Atlanta",40,90.01509137,0.1,-0.028861102,0,0,0,0,5,0.510488419659524,0.000766964029902069,0.0534716971055032,0.724340095620916,0.000766964029902069,0
"Atlanta",41,88.7399409,77.71900445,-0.027933506,87.58063581,0,0,0,5,0.506463681348924,0.000890467063088019,0.053166203618811,0.719638196662951,0.000890467063088019,0
"Atlanta",42,78.82496431,0.1,-0.026652832,0,0,0,0,5,0.517277395485725,0.000477344304909707,0.0606227508368429,0.702629651584524,0.000477344304909707,0
"Atlanta",43,279.6240664,255.1310741,-0.019385101,91.2407424,0,0,0,8,0.915389942853232,0.0412159999472442,0.419251567835472,0.132695249807508,0.0412159999472442,0
"Atlanta",44,3082070.034,2128318.543,-0.002702343,43.54037816,25.51446225,226,5.4249500174814,13,0.844581382968621,0.0169614037906094,0.231560016066071,0.45187502689566,0.0160529494832819,0.000686906278369163
"Atlanta",45,83.3015427,29.916282,-0.032908916,35.91323885,0,0,0,8,1.07350376592836,0.0839685303900931,0.39933551005642,0.174126881978663,0.0839685303900931,0
"Atlanta",46,131.7018181,90.62044024,-0.046788724,68.80728113,0,0,0,13,1.43522872136857,0.318224244203819,0.425070004978047,0.0279194222470236,0.302989715898944,0.0138107406128312
"Atlanta",47,123.5408515,94.48210017,-0.055054047,76.47842717,0,0,0,12,1.46599128912862,0.324267561742515,0.341574405304338,0.084254001730778,0.316384110107053,0.00645938106150614
"Atlanta",48,99.42184575,46.4210514,-0.049140652,46.69099738,0,0,0,13,1.4336853897583,0.281949433648264,0.340333766445471,0.116523429088931,0.271715383293792,0.00880906369509275
"Atlanta",49,70.0065505,0.1,-0.048986873,0,0,0,0,10,0.996089701699582,0.0582161151759114,0.402195740919924,0.165095956406161,0.0500871600885008,0.00720227581392056
"Atlanta",50,12949.8104,12949.8104,-0.056221093,100,0,0,0,10,0.876026448686609,0.037609873872605,0.494330514672843,0.167240685043778,0.0372241529459608,0.000385720926644207
"Atlanta",51,706.9175448,545.1306769,-0.029154882,38.8730045,38.24075238,0,0,8,0.792669911061367,0.0149129710562826,0.22564263671161,0.388726022388087,0.0131231975488843,0.00178977350739833
"Atlanta",52,27874.67486,27494.93667,-0.061934655,98.63769462,0,0,0,10,1.33918464564663,0.185950509498788,0.326542281559595,0.19354291034804,0.185825693340171,0.000124816158616593
"Atlanta",53,34450.61336,34450.61336,-0.061958816,100,0,0,0,9,1.3985395948643,0.25928635165927,0.311548520940598,0.13810981505025,0.257650991517418,0.00163536014185217
"Atlanta",54,104410.5566,97023.56147,-0.067024728,81.5476448,11.37740474,1,0.693147180559945,10,1.45824622983803,0.273977747622933,0.285947348538753,0.163564294810891,0.273682848113311,0.00029489950962241
"Atlanta",55,723526.9247,717259.5805,-0.02083653,98.74615862,0.387620102,20,3.04452243772342,13,1.32453648386691,0.200403377343191,0.403335748844637,0.108933788015153,0.191831206858021,0.00778573282598053
"Atlanta",56,423183.3706,420001.8528,-0.093948826,95.5949849,3.653209142,2,1.09861228866811,13,1.6120333457404,0.357568917708383,0.168958631427866,0.226514183461241,0.342096147465827,0.014713176485265
"Atlanta",57,6004.75475,4699.814758,-0.03200487,8.344586592,69.92363508,0,0,4,0.496477466384203,0,0.0471740518845718,0.760764470719066,0,0
"Atlanta",58,1602.356637,1357.044199,-0.02038548,76.75759571,7.93292623,0,0,4,0.55483572385318,0,0.0753982356125794,0.690081256117104,0,0
"Atlanta",59,414.92966,327.81635,-0.020375528,37.42101568,41.58426681,0,0,4,0.555974427741115,0,0.0766873878343787,0.686080244362208,0,0
"Atlanta",60,232.5101137,124.9663532,-0.020342612,53.74663114,0,0,0,4,0.55203980568131,0,0.0739873902742451,0.69278727096701,0,0
"Atlanta",61,5801.912822,3923.442792,-0.110191037,55.81452136,11.80874208,0,0,8,1.30253802791963,0.174614894223001,0.296284869930873,0.192177271836476,0.172771975774215,0.00184291844878646
